Bird_ID,Common Name,Text,Image,Color
1,Black-Bellied Whistling Duck,,,
2,Fulvous Whistling Duck,,,
3,Greater white-fronted goose,,,
4,Lesser white-fronted goose,,,
5,Lesser Snow Goose (White Morph),,,
6,Lesser Snow Goose (Blue Morph),,,
7,Greater Snow Goose (White Morph),,,
8,Greater Snow Goose (Blue Morph),,,
9,Ross's Goose,,,
10,Brant Goose,,,
11,Cackling Goose,,,
12,Canada Goose,,,
13,Trumpeter Swan,,,
14,Tundra Swan,,,
15,Wood Duck,,,
16,Wood Duck,,,
17,Gadwall,,,
18,Gadwall,,,
19,Eurasian Wigeon,,,
20,American Wigeon,,,
21,American Wigeon,,,
22,American Black Duck,,,
23,Mallard,,,
24,Mallard,,,
25,Mottled Duck,,,
26,Blue-Winged Teal,,,
27,Blue-Winged Teal,,,
28,Cinnamon Teal,,,
29,Cinnamon Teal,,,
30,Northern Shoveler,,,
31,Northern Shoveler,,,
32,Northern Pintail,,,
33,Northern Pintail,,,
34,Garganey,,,
35,Garganey,,,
36,Green-Winged Teal,,,
37,Green-Winged Teal,,,
38,Canvasback,,,
39,Canvasback,,,
40,Redhead,,,
41,Redhead,,,
42,Ring-Necked Duck,,,
43,Ring-Necked Duck,,,
44,Trufted Duck,,,
45,Trufted Duck,,,
46,Greater Scaup,,,
47,Greater Scaup,,,
48,Lesser Scaup,,,
49,Lesser Scaup,,,
50,Harelquin Duck,,,
51,Harelquin Duck,,,
52,Surf Scoter,,,
53,Surf Scoter,,,
54,White-Winged Scoter,,,
55,White-Winged Scoter,,,
56,Black Scoter,,,
57,Black Scoter,,,
58,Long-Tailed Duck,,,
59,Long-Tailed Duck,,,
60,Bufflehead,,,
61,Bufflehead,,,
62,Common Goldeneye,,,
63,Common Goldeneye,,,
64,Barrow's Goldeneye,,,
65,Barrow's Goldeneye,,,
66,Hooded Merganser,,,
67,Hooded Merganser,,,
68,Common Merganser,,,
69,Common Merganser,,,
70,Red-Breasted Merganser,,,
71,Red-Breasted Merganser,,,
72,Ruddy Duck,,,
73,Ruddy Duck,,,
74,Scaled Quail,,,
75,Gambel's Quail,,,
76,Northern Bobwhite,,,
