Sim_ID,Bird_ID_1,Bird_ID_2,Bird_1_Text,Bird_2_text
1,30,23,Northern Shoveler (M),Mallard (M)
2,30,24,Northern Shoveler (M),Mallard (F)
3,31,23,Northern Shoveler (F),Mallard (M)
4,31,24,Northern Shoveler (F),Mallard (F)
5,34,32,Garganey (M),Northern Pintail (M)
6,34,33,Garganey (M),Northern Pintail (F)
7,35,32,Garganey (F),Northern Pintail (M)
8,35,33,Garganey (F),Northern Pintail (F)
9,70,68,Red-Breasted Merganser (M),Common Merganser (M)
10,70,69,Red-Breasted Merganser (M),Common Merganser (F)
11,71,68,Red Breasted Merganser (F),Common Merganser (M)
12,71,69,Red Breasted Merganser (F),Common Merganser (F)
13,83,81,Gunnison Sage-Grouse (M),Great Sage-Grouse (M)
14,83,82,Gunnison Sage-Grouse (M),Great Sage-Grouse (F)
15,84,81,Gunnison Sage-Grouse (F),Great Sage-Grouse (M)
16,84,82,Gunnison Sage-Grouse (F),Great Sage-Grouse (F)
17,93,91,Lesser Prairie-Chicken (M),Great Prairire-Chicken (M)
18,93,92,Lesser Prairie-Chicken (M),Great Prairire-Chicken (F)
19,94,91,Lesser Prairie-Chicken (F),Great Prairire-Chicken (M)
20,94,92,Lesser Prairie-Chicken (F),Great Prairire-Chicken (F)
21,98,99,Artic Loon,Pacific Loon
22,109,110,Western Grebe,Clark's Grebe
23,114,115,Neotropic Cormorant,Double-Crested Cormorant
24,122,123,Great Egret,Snowy Egret
25,133,134,Glossy Ibis,White-Faced Ibis
26,174,175,Black-Belled Plover,American Golden-Plover
